run_id,experiment_id,run_number,timestamp,task_type,task_location_name,task_lat,task_lon,task_altitude,task_duration,total_agents,eligible_agents,bidding_agents,eliminated_agents,elimination_reasons,uav1_battery_start,uav1_distance,uav1_phase1,uav1_bid_score,uav1_specialization_bonus,uav2_battery_start,uav2_distance,uav2_phase1,uav2_bid_score,uav2_specialization_bonus,uav3_battery_start,uav3_distance,uav3_phase1,uav3_bid_score,uav3_specialization_bonus,uav4_battery_start,uav4_distance,uav4_phase1,uav4_bid_score,uav4_specialization_bonus,winner_agent,winner_score,winning_margin,mission_success,mission_duration_actual,battery_consumed,energy_efficiency,target_accuracy_meters,bidding_time_seconds,total_mission_time_seconds,notes
A1_001,A1,1,2025-11-15T09:44:41,delivery,5km west of Queanbey High Australia,-35.351464,149.177974,30,1min,4,3,3,1,uav4: insufficient_battery,100,1748.22,PASS,0.417,0,68,1678.28,PASS,0.485,0.1,94,1673.03,PASS,0.442,0,0,N/A,FAIL,N/A,N/A,uav2,0.485,0.043,TRUE,180,10,167.83,2.6,3,183,Successful delivery mission. uav2 won with specialization bonus. uav4 eliminated due to 0% battery.
A1_002,A1,2,2025-11-15T12:07:23,delivery,2km south of Narrabundah Australia,-35.352902,149.147401,30,1min,4,3,3,1,uav4: insufficient_battery,100,1985.12,PASS,0.338,0,51,2074.77,PASS,0.339,0.1,94,1907.93,PASS,0.364,0,0,N/A,FAIL,N/A,N/A,uav3,0.364,0.025,TRUE,60,10,190.8,0.3,3,63,uav3 won with best position and battery. uav4 eliminated due to 0% battery. Mission completed successfully.
A1_003,A1,3,2025-11-15T13:28:11,delivery,6km west of Karabar Australia,-35.378869,149.170248,30,1min,4,4,4,0,none,100,1794.23,PASS,0.402,0,51,1769.70,PASS,0.451,0.1,76,1910.21,PASS,0.363,0,100,1903.30,PASS,0.402,0.1,uav2,0.451,0.049,TRUE,60,9,196.6,2.9,3,63,uav2 won with specialization bonus and closest distance. All agents eligible. Mission completed successfully.
